N, num_eigs, dtype, run_time, device, method, workspace_bytes
100, 5, torch.float64, 0.0070307254791259766, RTX-4090-24GB, cusolverSyevdx, 449352
1000, 50, torch.float64, 0.028427839279174805, RTX-4090-24GB, cusolverSyevdx, 24076136
2000, 100, torch.float64, 0.06244611740112305, RTX-4090-24GB, cusolverSyevdx, 96152136
5000, 250, torch.float64, 0.6554110050201416, RTX-4090-24GB, cusolverSyevdx, 600380136
10000, 500, torch.float64, 4.1425981521606445, RTX-4090-24GB, cusolverSyevdx, 2400760136
15000, 750, torch.float64, 11.054589986801147, RTX-4090-24GB, cusolverSyevdx, 5401140136
20000, 1000, torch.float64, 29.120691299438477, RTX-4090-24GB, cusolverSyevdx, 9601520136
25000, 1250, torch.float64, 52.1819634437561, RTX-4090-24GB, cusolverSyevdx, 15001900136
30000, 1500, torch.float64, None, RTX-4090-24GB, cusolverSyevdx, 21602280136
35000, 1750, torch.float64, None, RTX-4090-24GB, cusolverSyevdx, 29402660136
40000, 2000, torch.float64, None, RTX-4090-24GB, cusolverSyevdx, 38403040136
45000, 2250, torch.float64, None, RTX-4090-24GB, cusolverSyevdx, 48603420136
50000, 2500, torch.float64, None, RTX-4090-24GB, cusolverSyevdx, 60003800136
100, 100, torch.float32, 1.0346014499664307, RTX-4090-24GB, cusolverMgsyevd, 20166016
1000, 1000, torch.float32, 1.121391773223877, RTX-4090-24GB, cusolverMgsyevd, 49957888
2000, 2000, torch.float32, 1.236234426498413, RTX-4090-24GB, cusolverMgsyevd, 143571328
5000, 5000, torch.float32, 1.755993127822876, RTX-4090-24GB, cusolverMgsyevd, 798547456
10000, 10000, torch.float32, 3.469217300415039, RTX-4090-24GB, cusolverMgsyevd, 3673760128
15000, 15000, torch.float32, 7.950328350067139, RTX-4090-24GB, cusolverMgsyevd, 7025997440
20000, 20000, torch.float32, 16.109558582305908, RTX-4090-24GB, cusolverMgsyevd, 12473362688
25000, 25000, torch.float32, 29.35252046585083, RTX-4090-24GB, cusolverMgsyevd, 19094459648
30000, 30000, torch.float32, None, RTX-4090-24GB, cusolverMgsyevd, 27576996992
35000, 35000, torch.float32, None, RTX-4090-24GB, cusolverMgsyevd, 37615290240
40000, 40000, torch.float32, None, RTX-4090-24GB, cusolverMgsyevd, 49209345792
45000, 45000, torch.float32, None, RTX-4090-24GB, cusolverMgsyevd, 61671459968
50000, 50000, torch.float32, None, RTX-4090-24GB, cusolverMgsyevd, 76300687488
100, 100, torch.float64, 1.0236537456512451, RTX-4090-24GB, cusolverMgsyevd, 19923456
1000, 1000, torch.float64, 1.1398286819458008, RTX-4090-24GB, cusolverMgsyevd, 45054976
2000, 2000, torch.float64, 1.3390896320343018, RTX-4090-24GB, cusolverMgsyevd, 123935232
5000, 5000, torch.float64, 2.4372169971466064, RTX-4090-24GB, cusolverMgsyevd, 675728896
10000, 10000, torch.float64, 7.647592067718506, RTX-4090-24GB, cusolverMgsyevd, 3182363136
15000, 15000, torch.float64, 20.437946557998657, RTX-4090-24GB, cusolverMgsyevd, 5920258816
20000, 20000, torch.float64, 44.00131273269653, RTX-4090-24GB, cusolverMgsyevd, 10507525376
